providerId,providerMode,protocol,model,taskId,role,status,passed,latencyMs,promptTokens,completionTokens,totalTokens,fallbackCode
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-admin-plan-001,ADMIN,PASSED,true,4155,802,139,941,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-courier-source-002,COURIER,PASSED,true,4061,798,134,932,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-courier-recipient-003,COURIER,PASSED,true,3944,791,134,925,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-customer-eta-004,CUSTOMER,PASSED,true,2893,591,92,683,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-report-summary-005,REPORT,PASSED,true,2985,677,103,780,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-admin-blocked-006,ADMIN,PASSED,true,4251,717,116,833,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-courier-confidence-007,COURIER,PASSED,true,2999,593,91,684,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-admin-applied-008,ADMIN,PASSED,true,3583,712,116,828,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-injection-citation-009,ADMIN,PASSED,true,3181,682,108,790,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-no-citation-010,CUSTOMER,PASSED,true,2578,542,81,623,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-decimal-integrity-011,ADMIN,PASSED,true,3204,676,106,782,
AX,LIVE,OPENAI_CHAT_COMPLETIONS,A.X-K1,domestic-ai-fallback-boundary-012,REPORT,PASSED,true,2801,646,97,743,
